"2Africa","2Africa/SHARP/EMIC-1"
"Link 3 Phase-1","Link 3 Phase-1"
"Link 3 Phase-2","Link 3 Phase-2"
"Link 4 Phase-2","Link 4 Phase-2"
"Link 5 Phase-2","Link 5 Phase-2"
"MAREA","MAREA"
"Manatua","Manatua"
"Maroc Telecom West Africa","Maroc Telecom West Africa"
"Medloop",""
"Minoas East and West","Minoas East and West"
"Moratelindo International Cable System-1 (MIC-1)","Moratelindo International Cable System-1 (MIC-1)"
"N0r5ke Viking 2",""
"Ningbo-Zhoushan Cable",""
"Norfest",""
"North West Cable System","North West Cable System"
"Olisipo","Sines to Lisbon"
"Oman Australia Cable (OAC)","Oman Australia Cable (OAC)"
"Palapa Ring East","Palapa Ring East"
"Palapa Ring West","Palapa Ring West"
"Palawan-Iloilo Cable System","Palawan-Iloilo Cable System"
"Paniolo Cable Network","Paniolo Cable Network"
"Penbal-4","Penbal-4"
"Penbal-5","PENBAL-5"
"Pencan-9","Pencan-9"
"Petropavlovsk-Kamchatsky - Anadyr",""
"Philippine Domestic Submarine Cable Network (PDSCN)",""
"Piano Isole Minori",""
"Picot-1","Picot-1 (a.k.a Gondwana-1)"
"Polar Express","Polar Express"
"R100 North",""
"Raman","Raman"
"Red2Med",""
"Romulo","Romulo"
"Roquetas-Melilla (CAM)",""
"S-U-B Cable System","S-U-B Cable System"
"SEA-H2X","SEA-H2X"
"SEA-US","SEA-US"
"SEALink","SEALink"
"Saba, Statia Cable System (SSCS)","Saba, Statia Cable System (SSCS)"
"Sagres",""
"Sape-Labuan Bajo-Ende-Kupang Cable Systems","Sape-LabuanBajo-Ende-Kupang Cable Systems"
"Scotland-Northern Ireland 3","Scotland-Northern Ireland 3 (SCOT-NI 3)"
"Scotland-Northern Ireland 4","Scotland-Northern Ireland 4 (SCOT-NI 4)"
"Singapore India Gateway (SING) Cable",""
"Solas","SOLAS"
"South America-1 (SAm-1)","South America-1 (SAm-1)"
"Southern Cross Cable Network (SCCN)","Southern Cross Cable Network (SCCN)"
"Submarine Cable in the Philippines (SCiP)",""
"T3",""
"TEGOPA","Tenerife-La Gomera-La Palma"
"TRANSCAN-2","TRANSCAN 2"
"TRANSCAN-3","TRANSCAN-3"
"Taino-Carib","Taino-Carib"
"Taiwan Penghu Kinmen Matsu No.2 (TPKM2)",""
"Taiwan Penghu Kinmen Matsu No.3 (TPKM3)",""
"Tamares North","Tamares North"
"Tannat","Tannat"
"Tenerife-La Palma","Tenerife-La Palma (TELAPA)"
"Thetis","Thetis"
"Timor-Leste South Submarine Cable (TLSSC)",""
"Trans Adriatic Express","Trans Adriatic Express"
"Trapani-Kelibia","Trapani-Kelibia (Keltra 2)"
"Unitel North Submarine Cable (UNSC)","Unitel North Submarine Cable (UNSC)"
"Unitirreno Cable",""
"Vodafone Greece Domestic",""
"West Africa Cable System (WACS)","West Africa Cable System (WACS)"
"X-Link Submarine Cable","X-Link Submarine Cable"
