"name_telegeography","name_infrapedia","name_submarine_networks","name_wiki"
"Bay to Bay Express (BtoBE) Cable System","","",""
"Berytar","","",""
"Bezeq International Optical System","","","Bezeq International Optical System – JONAH"
"Bharat Lanka Cable System","Bharat Lanka Cable System","",""
"Bicentenario","Bicentenario","",""
"Bifrost","Bifrost","",""
"Biznet Nusantara Cable System-1 (BNCS-1)","Biznet Nusantara Cable System-1 (BNCS-1)","",""
"Black Sea Fiber Optic Cable System (BSFOCS)","","Black Sea Fibre Optic System (KAFOS)","Black Sea Fiber-Optic Cable System (BSFOCS)"
"Blue","Blue","",""
"BlueMed","","BlueMed",""
"Bodo-Rost Cable","","",""
"Boracay-Palawan Submarine Cable System","","",""
"Boracay-Palawan Submarine Cable System (BPSCS)","Boracay-Palawan Submarine Cable System (BPSCS)","",""
"Boriken Submarine Cable System (BSCS)","","",""
"Botnia","Botnia","",""
"Brazil-Europe","","",""
"Brazilian Festoon","Brazilian Festoon","",""
"Bridge One","Bridge One","Bridge One",""
"C-Lion1","","C-Lion1","C-Lion 1"
"CADMOS","CADMOS","CADMOS-2","CADMOS"
"CAM Ring","CAM Ring","",""
"CANDALTA","CANDALTA","",""
"CANTAT-3","CANTAT-3","","CANTAT-3"
"CAP-1","CAP-1 (f.k.a Bay to Bay Express (BtoBE))","CAP-1",""
"CIOS","","",""
"COAM","","",""
"COBRAcable","COBRAcable","",""
"COGIM","Câble Optique Gaspésie-Iles-de-la-Madeleine (COGIM)","",""
"COPA","","","COMPAC"
"COPA/COMA","","",""
"Cable of the Americas","","",""
"Cabo Verde Telecom Domestic Submarine Cable Phase 1","Cabo Verde Telecom Domestic Submarine Cable Phase 1","",""
"Cabo Verde Telecom Domestic Submarine Cable Phase 2","Cabo Verde Telecom Domestic Submarine Cable Phase 2","",""
"Cabo Verde Telecom Domestic Submarine Cable Phase 3","Cabo Verde Telecom Domestic Submarine Cable Phase 3","",""
"Cameroon-Brazil Cable System (CBCS)","","",""
"CanaLink","","",""
"Canada-United States 1 (CANUS 1)","","",""
"Canalink","CanaLink","",""
"Caribbean Express (CX)","Caribbean Express (CX)","Caribbean Express",""
"Caribbean Regional Communications Infrastructure Program (CARCIP)","Caribbean Regional Communications Infrastructure Program (CARCIP)","",""
"Caribbean-Bermuda U.S. (CBUS)","Caribbean-Bermuda U.S. (CBUS)","",""
"Carnival Submarine Network-1 (CSN-1)","Carnival Submarine Network-1 (CSN-1)","Carnival Submarine Network-1",""
"Caucasus Cable System","Caucasus Cable System","",""
"Cayman-Jamaica Fiber System","","",""
"Cayman-Jamaica Fiber System (CJFS)","Cayman-Jamaica Fiber System (CJFS)","",""
"Ceiba-1","Ceiba-1","Ceiba-1",""
"Ceiba-2","Ceiba-2","",""
"Celtic","","",""
"Celtic Norse","Celtic Norse","",""
"CeltixConnect","","",""
"CeltixConnect-1 (CC-1)","CeltixConnect-1 (CC-1)","CeltixConnect-1 (CC-1)",""
"CeltixConnect-2","","",""
"CeltixConnect-2 (CC-2)","","",""
"Challenger Bermuda-1 (CB-1)","Challenger Bermuda-1 (CB-1)","",""
"Channel Islands-9 Liberty Submarine Cable","Channel Islands-9 Liberty Submarine Cable","",""
"Chennai-Andaman & Nicobar Islands Cable","Chennai-Andaman & Nicobar Islands Cable (CANI)","",""
"China-U.S. Cable Network (CHUS)","","","CUCN or China-US Cable Network"
"Chuuk Cable","","",""
"Chuuk-Pohnpei Cable","Chuuk-Pohnpei Cable","",""
"Circe North","CIRCE North","",""
"Circe South","CIRCE South","",""
"Colombia-Florida Subsea Fiber (CFX-1)","Colombia-Florida Subsea Fiber (CFX-1)","Colombia-Florida Subsea Fiber (CFX-1)",""
"Colombian Festoon","Colombian Festoon","",""
"Columbus-II b","COLUMBUS II","",""
"Columbus-III",COLUMBUS III,"","Columbus-III"
"Columbus-III Azores-Portugal","COLUMBUS III","",COLUMBUS III
"Comoros Domestic Cable System","Comoros Domestic Cable System","",""
"Concerto","Concerto","","Concerto 1"
"Confluence-1","Confluence-1","",""
"Converge Domestic Submarine Cable Network (CDSCN)","Converge Domestic Submarine Cable Network (CDSCN)","Converge ICTSI Domestic Submarine Cable Network (CDSCN)",""
"Converge ICT Domestic Submarine Cable","","Converge ICTSI Domestic Submarine Cable Network (CDSCN)",""
"Cook Strait","Cook Strait","",""
"Coral Sea Cable System (CSCS)",Coral Sea Cable System (CS2),"Coral Sea Cable System (CS²)",""
"Coral Sea Cable System (CS²)","Coral Sea Cable System (CS2)","Coral Sea Cable System (CS²)",""
"Corfu-Bar","","",""
"Corse-Continent 4 (CC4)","Corse-Continent 4 (CC4)","",""
"Corse-Continent 5 (CC5)","Corse-Continent 5 (CC5)","",""
"Cross Straits Cable Network","","",""
"Cross-Straits Cable Network (CSCN)","Cross Straits Cable Network","",""
"CrossChannel Fibre","CrossChannel Fibre","CrossChannel Fibre",""
"Crosslake Fibre","Crosslake Fibre","CrossChannel Fibre",""
"Curie","Curie","Curie",""
"DAMAI Cable System","DAMAI Cable System","",""
"DANICE","Danice","",""
"DOS CONTINENTES l & ll","DOS CONTINENTES 1 & 2","",""
"Danica North","Danica North","",""
"Danica South","","",""
"Darwin-Jakarta-Singapore Cable (DJSC)","Darwin-Jakarta-Singapore Cable (DJSC)","Darwin-Jakarta-Singapore Cable",""
"Deep Blue Cable",Deep Blue One,"Deep Blue One",""
"Deep Blue One","Deep Blue One","Deep Blue One",""
"Denmark-Norway 5","","",""
"Denmark-Norway 6","","",""
"Denmark-Poland 2","Denmark-Poland 2","",""
"Denmark-Sweden 15","Denmark-Sweden 15","",""
"Denmark-Sweden 16","Denmark-Sweden 16","",""
"Denmark-Sweden 17","Denmark-Sweden 17","",""
"Denmark-Sweden 18","Denmark-Sweden 18","",""
"Denpasar-Waingapu Cable Systems","Denpasar-Waingapu Cable Systems","",""
"Dhiraagu Cable Network","Dhiraagu Cable Network","",""
"Dhiraagu-SLT Submarine Cable Network","Dhiraagu-SLT Submarine Cable Network","",""
"Diamond Link Global","","",""
"Didon","Didon","",""
"Djibouti Africa Regional Express (DARE)","","",""
"Djibouti Africa Regional Express 1 (DARE1)","Djibouti Africa Regional Express 1 (DARE1)","",""
"Dumai Medan Cable System (DMCS)","","",""
"Dumai-Melaka Cable System","Dumai-Melaka Cable System","Dumai Malaka Cable System","Dumai-Malacca Cable System"
"Dunant","Dunant","Dunant","Dunant"
"E-LLAN","E-LLAN","",""
"EAC-C2C","EAC-C2C","","EAC-C2C"
"ECLink","ECLink","",""
"ESAT-1","ESAT 1","",""
"ESAT-2","ESAT 2","",""
"EUROPA","","",""
"EXA Express","EXA Express (fka GTT Express)","EXA Express",""
"EXA North and South","EXA North & South (fka GTT Atlantic)","",""
"East Coast Cable System","East Coast Cable System","",""
"East-West","East West Cable (EWC)","",""
"East-West Submarine Cable System","East-West Submarine Cable System","",""
"Eastern Africa Submarine System (EASSy)","Eastern Africa Submarine System (EASSY)","","Eastern Africa Submarine Cable System (EASSy)"
"Eastern Arctic Undersea Fibre Optic Network (EAUFON)","Eastern Arctic Undersea Fibre Optic Network (EAUFON)","",""
"Eastern Caribbean Fiber System (ECFS)","Eastern Caribbean Fiber System (ECFS)","",""
"Eastern Light",Eastern Light,"",""
"Eastern Light Sweden-Finland I","Eastern Light","",""
"Echo","Echo","Echo",""
"Elektra-GlobalConnect 1 (GC1)","Elektra-GlobalConnect 1 (GC1)","",""
"EllaLink","EllaLink","",""
"Emerald Bridge","","",""
"Emerald Bridge Fibres","Emerald Bridge Fibres","",""
"Emerald Express","","",""
"Emerald Networks","","","Hibernia Networks"
"Energinet Laeso-Varberg","Energinet Laeso-Varberg","",""
"Energinet Lyngsa-Laeso","Energinet Lyngsa-Laeso","",""
"England Cable","","",""
"Epic Malta-Sicily Cable System (EMSCS)","Epic Malta-Sicily Cable System (EMSCS)","",""
"Equiano","Equiano","Equiano",""
"Estepona-Tetouan","Estepona-Tetouan","",""
"Eurafrica","","",""
"Europe India Gateway (EIG)","Europe India Gateway (EIG)","Europe India Gateway (EIG)","Europe India Gateway (EIG)"
"Europe-Persia Express Gateway (EPEG) Iran-Oman Cable","","Europe-Persia Express Gateway (EPEG)",""
"Eviny Digital","Eviny Digital (fka BKK Digitek)","",""
"FALCON","FALCON/WARF","FALCON",""
"FARICE","","",""
"FARICE-1","Farice-1","","FARICE-1"
"FASTER","FASTER","FASTER","FASTER"
"FLAG Atlantic-1 (FA-1)","FLAG Atlantic 1 (FA-1)","FA-1 (FLAG Atlantic 1)",""
"FLAG Europe-Asia (FEA)","FLAG Europe Asia (FEA)","",""
"FLAG FALCON","","FALCON",""
"FLAG Hawk","","",""
"FLAG North Asia Loop/REACH North Asia Loop","FLAG North Asia Loop (FNAL)/REACH North Asia Loop (RNAL)","",""
"FLY-LION3","FLY-LION3","",""
"FOS Quellon-Chacabuco","FOS Quellon-Chacabuco","",""
"Far East Submarine Cable System","Far East Submarine Cable System","",""
"Farland North","Farland North (UK - NETHERLANDS 13)","",""
"FastnetConnect","","",""
"Fehmarn Bält","Fehmarn Bält","",""
"Fiber Optic Gulf (FOG)","Fiber Optic Gulf (FOG)","Fiber Optic Gulf (FOG)",""
"Fibra Optica Austral","Fibra Optica Austral (FOA)","",""
"Fibra Optica al Pacífico","Fibra Optica al Pacífico","",""
"Fibralink","Fibralink","",""
"Finland Estonia Connection (FEC)","Finland Estonia Connection (FEC)","",""
"Finland-Estonia 2 (EESF-2)","Finland-Estonia 2 (EESF-2)","",""
"Finland-Estonia 3 (EESF-3)","Finland-Estonia 3 (EESF-3)","",""
"Firmina","Firmina","Firmina",""
"Flores-Corvo Cable System","Flores-Corvo Cable System","",""
"GO-1 Mediterranean Cable System","GO-1 Mediterranean Cable System","",""
"GTMO-1","GTMO-1","",""
"GTMO-PR","GTMO-PR","GTMO-PR",""
"GTT Atlantic","","EXA Atlantic",""
"GTT Express","","EXA Express",""
"Galapagos Cable System","Galapagos Cable System","",""
"Gemini Bermuda","Gemini Bermuda","",""
"Geo-Eirgrid","Geo-Eirgrid","",""
"Georgia-Russia","Georgia-Russia","",""
"Germany-Denmark 2","","",""
"Germany-Denmark 3","Germany-Denmark 3","",""
"Germany-Netherlands","","",""
"GigNet-1","","",""
"Glo-1","GLO-1 (Globacom-1)","Globacom-1",""
"Glo-2","","",""
"Global Caribbean Network (GCN)","Global Caribbean Network (GCN)","",""
"GlobalConnect 2 (GC2)","GlobalConnect 2 (GC2)","",""
"GlobalConnect 3 (GC3)","GlobalConnect 3 (GC3)","",""
"GlobalConnect-KPN","GlobalConnect-KPN","",""
"GlobeNet","GlobeNet","Globenet","GlobeNet"
"GlobeNet Segment 5 (Bermuda-U.S.)","","",""
"Gondwana-1","Gondwana-1","Gondwana-1","Gondwana-1"
"Gondwana-2/Picot-2","Gondwana-2/Picot-2","",""
"Grace Hopper","Grace Hopper","","Grace Hopper"
"Greece-Western Europe Network (GWEN)","","",""
"Greenland Connect","Greenland Connect","","Greenland Connect"
"Greenland Connect North","Greenland Connect North","",""
"Groix 4","Groix-4","",""
"Guadeloupe Cable des Iles du Sud (GCIS)","Guadeloupe Cable des Iles du Sud (GCIS)","",""
"Guam Okinama Kyushu Incheon (GOKI)","","",""
"Guam Okinawa Kyushu Incheon (GOKI)","Guam Okinawa Kyushu Incheon (GOKI)","",""
"Guernsey-Jersey-4","Guernsey-Jersey-4","",""
"Gulf Bridge International Cable System (GBICS)","","",""
"Gulf Bridge International Cable System (GBICS)/Middle East North Africa (MENA) Cable System","Gulf Bridge International (GBI) Cable System/Middle East North Africa Cable System (MENA)","",""
"Gulf of California Cable","Gulf of California Cable","",""
"Gulf of Mexico Fiber Optic Network","Gulf of Mexico Fiber Optic Network","",""
"Gulf2Africa (G2A)","Gulf2Africa (G2A)","",""
"H2 Cable","","",""
"HANNIBAL System","HANNIBAL System","",""
"HANTRU1 Cable System","HANTRU1 Cable System","",""
"HICS (Hawaii Inter-Island Cable System)","Hawaii Inter-Island Cable System (HICS)","",""
"HIFN (Hawaii Island Fibre Network)","Hawaii Island Fibre Network (HIFN)","",""
"Hainan to Hong Kong Express (H2HE)","Hainan to Hong Kong Express (H2HE)","Hainan to Hong Kong Express (H2HE)",""
"Hainan-Hong Kong Submarine Cable System","","",""
"Havfrue/AEC-2","Havfrue/AEConnect-2(AEC-2)","",""
"Havhingsten/CeltixConnect-2 (CC-2)","Havhingsten/CeltixConnect-2 (CC-2)","",""
"Havhingsten/North Sea Connect (NSC)","Havhingsten/North Sea Connect (NSC)","",""
"Havsil","Havsil","",""
"Havtor","","",""
"Hawaiki","Hawaiki","Hawaiki Nui",""
"Hawaiki Cable","","Hawaiki Cable",""
"Hawaiki Nui","Hawaiki Nui","Hawaiki Nui",""
"Hawk","HAWK","HAWK",""
"Hibernia Atlantic","","",""
"Hibernia Express","","",""
"High-capacity Undersea Guernsey Optical-fibre (HUGO)","High-capacity Undersea Guernsey Optical-fibre (HUGO)","",""
"Hokkaido-Akita Cable","Hokkaido-Akita Cable","Hokkaido-Akita",""
"Hokkaido-Sakhalin Cable System (HSCS)","Hokkaido-Sakhalin Cable System (HSCS)","Hokkaido-Sakhalin Cable System",""
"Hong Kong-Americas (HKA)","","",""
"Hong Kong-Guam (HK-G)","","",""
"Honotua","HONOTUA","Honotua","Honotua"
"Hronn","Hronn","",""
"IMEWE","India-Middle East-Western Europe(I-ME-WE/IMEWE)","IMEWE","I-ME-WE"
"INDIGO-Central","INDIGO-Central","",""
"INDIGO-West","INDIGO-West","INDIGO",""
"INGRID","INGRID","",""
"IOX Cable System","","",""
"IP-Only Denmark-Sweden","IP-Only Denmark-Sweden","",""
"IRIS","IRIS Cable System (Ireland-Iceland)","IRIS",""
"ITUR","","","ITUR"
"India Asia Xpress (IAX)","India Asia Xpress (IAX)","India-Asia-Xpress (IAX)",""
"India Europe Xpress (IEX)","India Europe Xpress (IEX)","India-Europe-Xpress (IEX)",""
"Indigo","","",""
"Indonesia Global Gateway (IGG) System","Indonesia Global Gateway (IGG) System","Indonesia Global Gateway (IGG)",""
"Interchange Cable Network (ICN)","","",""
"Interchange Cable Network 1 (ICN1)","Interchange Cable Network 1 (ICN1)","",""
"Interchange Cable Network 2 (ICN2)","","",""
"International Gateway (IGW)","","",""
"Ionian","Ionian","",""
"Ireland-France Cable-1 (IFC-1)","","",""
"Isles of Scilly Cable","Isles of Scilly Cable","","Isle of Man Cable"
"Italy-Albania","Italy-Albania","Italy-Albania",""
"Italy-Croatia","Italy-Croatia","",""
"Italy-Greece 1","Italy-Greece 1 (IG-1)","Italy-Greece 1",""
"Italy-Libya","Italy-Libya","",""
"Italy-Malta","Italy-Malta","",""
"Italy-Monaco","Italy-Monaco","",""
"Ivaluk Network","","",""
"Ixchel","Ixchel","",""
"JAKABARE","JAKABARE","",""
"JASUKA","","JASURAUS","JASURAUS"
"JSCFS","JSCFS","",""
"JUNO","Juno","Junior",""
"JUPITER","Jupiter","",""
"JaKa2LaDeMa","JaKa2LaDeMa","",""
"Jakarta Surabaya Cable System (JAYABAYA)","Jakarta Surabaya Cable System (JAYABAYA)","",""
"Jakarta-Bangka-Bintan-Batam-Singapore (B3JS)","Jakarta-Bangka-Bintan-Batam-Singapore (B3JS)","",""
"Jambi-Batam Cable System (JIBA)","Jambi-Batam Cable System (JIBA)","",""
"Janna","Janna","",""
"Japan Information Highway (JIH)","Japan Information Highway (JIH)","",""
"Japan-Guam-Australia North (JGA-N)","Japan-Guam-Australia North (JGA-N)","Japan-Guam-Australia (JGA) Cable System",""
"Japan-Guam-Australia South (JGA-S)","Japan-Guam-Australia South (JGA-S)","Japan-Guam-Australia (JGA) Cable System",""
"Japan-U.S. Cable Network (JUS)","Japan-U.S. Cable Network (JUS)","","Japan-US Cable Network"
"Java Bali Cable System (JBCS)","Java Bali Cable System (JBCS)","",""
"Java-Kalimantan-Sulawesi (JAKASUSI)","Java-Kalimantan-Sulawesi (JAKASUSI)","",""
"Jerry Newton","Jerry Newton","",""
"Jonah","JONAH","JONAH",""
"Junior","Junior","Junior",""
"KAFOS","KAFOS","","KAFOS"
"Kaliningrad Cable","Kaliningrad Cable","",""
"Kanawa","Kanawa","Kanawa",""
"Kattegat 1","","",""
"Kattegat 2","Kattegat 2","",""
"Kattittuq Nunavut Fibre Link","Kattittuq Nunavut Fibre Link","",""
"Kerch Strait Cable","Kerch Strait Cable","",""
"KetchCan1 Submarine Fiber Cable System","KetchCan1 Submarine Fiber Cable System","",""
"Kodiak Kenai Fiber Link (KKFL)","Kodiak Kenai Fiber Link (KKFL)","",""
"Korea-Japan Cable Network (KJCN)","Korea-Japan Cable Network (KJCN)","Korea-Japan Cable Network",""
"Kumul Domestic Submarine Cable System","Kumul Domestic Submarine Cable System","MENA Submarine Cable System","Guam-Philippines Fiber Optic Submarine Cable System"
"Kupang-Alor Cable Systems","Kupang-Alor Cable Systems","",""
"Kuwait-Iran","Kuwait-Iran","",""
"LFON (Libyan Fiber Optic Network)","Libyan Fiber Optic Network (LFON)","",""
"La Gomera-El Hierro","La Gomera-El Hierro","",""
"Labuan-Brunei Submarine Cable","Labuan-Brunei Submarine Cable","",""
"Lanis-1","LANIS 1","",""
"Lanis-2","LANIS 2","",""
"Lanis-3","LANIS 3","",""
"Latvia-Sweden 1 (LV-SE 1)","Latvia-Sweden 1 (LV-SE 1)","",""
"Lazaro Cardenas-Manzanillo Santiago Submarine Cable System (LCMSSCS)","Lazaro Cardenas-Manzanillo Santiago Submarine Cable System (LCMSSCS)","",""
"Leif Erikson","Leif Erikson","Leif Erikson",""
"Lev Submarine System","","",""
"Libreville-Port Gentil Cable","Libreville-Port Gentil Cable","",""
"Link 1 Phase-1","Link 1 Phase-1","",""
"Link 1 Phase-2","Link 1 Phase-2","",""
"Link 2 Phase-1","Link 2 Phase-1","",""
"Link 2 Phase-2","Link 2 Phase-2","",""
"Link 3 Phase-1","Link 3 Phase-1","",""
"Link 3 Phase-2","Link 3 Phase-2","",""
"Link 4 Phase-2","Link 4 Phase-2","",""
"Link 5 Phase-2","Link 5 Phase-2","",""
"Liquid Sea","","",""
"Loukkos","","",""
"Lower Indian Ocean Network (LION)","Lower Indian Ocean Network (LION)","","Lower Indian Ocean Network (LION)"
